06:26:28.383 total=7.03ms respawn=1.14ms interaction=3.87ms combat=1.94ms entities=15 projectiles=0
06:26:30.397 total=0.21ms respawn=0.05ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:26:32.453 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:26:34.487 total=0.23ms respawn=0.05ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:26:36.551 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:26:38.605 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:26:40.644 total=0.44ms respawn=0.05ms interaction=0.20ms combat=0.19ms entities=15 projectiles=1
06:26:42.680 total=1.37ms respawn=0.05ms interaction=0.17ms combat=1.16ms entities=15 projectiles=2
06:26:44.744 total=0.37ms respawn=0.05ms interaction=0.16ms combat=0.16ms entities=15 projectiles=1
06:26:46.753 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:26:48.826 total=0.22ms respawn=0.05ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:26:50.849 total=0.25ms respawn=0.06ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:26:52.922 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:26:54.948 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:29:16.074 total=7.07ms respawn=1.14ms interaction=3.87ms combat=1.96ms entities=15 projectiles=0
06:29:18.084 total=0.20ms respawn=0.04ms interaction=0.15ms combat=0.01ms entities=15 projectiles=0
06:29:20.169 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:29:22.171 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:29:24.205 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:29:26.250 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:29:28.267 total=0.35ms respawn=0.04ms interaction=0.16ms combat=0.15ms entities=15 projectiles=1
06:29:30.297 total=1.31ms respawn=0.04ms interaction=0.16ms combat=1.11ms entities=15 projectiles=2
06:29:32.368 total=0.38ms respawn=0.04ms interaction=0.17ms combat=0.17ms entities=15 projectiles=1
06:29:34.393 total=0.20ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:29:36.463 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:29:38.467 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:29:40.524 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
