06:46:49.024 total=60.60ms control=59.79ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:46:51.034 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:46:53.051 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
06:46:55.054 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:46:57.064 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:46:59.067 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:01.074 total=0.88ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:47:03.089 total=0.95ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
06:47:05.104 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:07.122 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:09.130 total=1.03ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.97ms movable=10
06:47:11.145 total=0.85ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:13.148 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:15.170 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:17.179 total=0.88ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:47:19.197 total=0.99ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.93ms movable=10
06:47:21.229 total=0.91ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.86ms movable=10
06:47:23.243 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:47:25.262 total=1.02ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:47:27.265 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:29.273 total=0.93ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
06:47:31.295 total=30.84ms control=30.00ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:33.301 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:47:35.313 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:37.358 total=32.89ms control=32.04ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:47:39.372 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:41.380 total=1.03ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.98ms movable=10
06:47:43.387 total=0.82ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:45.419 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:47:47.428 total=0.91ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:49.456 total=0.87ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:51.461 total=0.89ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:53.479 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:47:55.489 total=0.90ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:47:57.525 total=0.98ms control=0.14ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:47:59.544 total=0.91ms control=0.10ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:01.566 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:03.570 total=0.92ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:05.579 total=0.93ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:07.598 total=0.91ms control=0.10ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:09.612 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:48:11.618 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:48:13.656 total=0.97ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.91ms movable=10
06:48:15.698 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:17.734 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:19.736 total=34.26ms control=33.43ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:21.773 total=0.86ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:23.776 total=1.02ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
06:48:25.782 total=0.88ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
06:48:27.786 total=1.03ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.98ms movable=10
06:48:29.786 total=0.85ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
06:48:31.793 total=0.82ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:48:33.794 total=0.83ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:48:35.797 total=1.12ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=1.07ms movable=10
06:48:37.803 total=0.91ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
06:48:39.809 total=0.90ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
06:48:41.812 total=0.99ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
06:48:43.829 total=0.92ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
06:48:45.844 total=0.95ms control=0.09ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
06:48:47.868 total=1.01ms control=0.09ms rotation=0.00ms vertical=0.00ms translation=0.90ms movable=10
06:54:45.419 total=16.79ms control=6.72ms rotation=0.29ms vertical=0.20ms translation=8.28ms movable=10
06:54:47.423 total=0.88ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
06:54:49.512 total=89.86ms control=89.24ms rotation=0.00ms vertical=0.00ms translation=0.59ms movable=10
06:54:51.526 total=120.07ms control=119.53ms rotation=0.00ms vertical=0.00ms translation=0.51ms movable=10
06:54:53.549 total=121.16ms control=120.63ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
06:54:55.551 total=30.50ms control=29.93ms rotation=0.00ms vertical=0.00ms translation=0.55ms movable=10
06:54:57.552 total=0.87ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
06:54:59.555 total=0.83ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
06:55:01.565 total=0.98ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.92ms movable=10
06:55:03.570 total=0.84ms control=0.03ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:05.578 total=0.92ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:07.589 total=0.93ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:09.596 total=1.07ms control=0.11ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
06:55:11.610 total=0.95ms control=0.12ms rotation=0.00ms vertical=0.00ms translation=0.80ms movable=10
06:55:13.619 total=0.84ms control=0.04ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:15.645 total=0.95ms control=0.14ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
06:55:17.675 total=60.44ms control=59.60ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
