06:24:11.490 frame=11.75ms map=0.06ms/175458v/1draw facility=1.50ms/28416v/1draw unit=2.79ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=7.02ms swap=0.04ms entities=15 projectiles=0
06:24:13.560 frame=11.26ms map=0.07ms/175458v/1draw facility=1.39ms/28416v/1draw unit=2.59ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.86ms swap=0.04ms entities=15 projectiles=0
06:24:15.650 frame=12.60ms map=0.06ms/175458v/1draw facility=1.52ms/28416v/1draw unit=2.58ms/32616v/1draw projectile=0.03ms/432v/1draw flush=0.06ms overlay=8.12ms swap=0.05ms entities=15 projectiles=4
06:24:17.670 frame=13.28ms map=0.05ms/175458v/1draw facility=1.64ms/28416v/1draw unit=2.65ms/32616v/1draw projectile=0.04ms/432v/1draw flush=0.08ms overlay=8.40ms swap=0.24ms entities=15 projectiles=4
06:24:19.763 frame=12.83ms map=0.06ms/175458v/1draw facility=1.33ms/28416v/1draw unit=2.58ms/32616v/1draw projectile=0.04ms/540v/1draw flush=0.04ms overlay=8.60ms swap=0.03ms entities=15 projectiles=5
06:24:21.902 frame=13.19ms map=0.06ms/175458v/1draw facility=1.32ms/28416v/1draw unit=2.59ms/32616v/1draw projectile=0.04ms/540v/1draw flush=0.07ms overlay=8.88ms swap=0.05ms entities=15 projectiles=6
06:24:23.983 frame=13.38ms map=0.07ms/175458v/1draw facility=1.36ms/28416v/1draw unit=2.65ms/32616v/1draw projectile=0.04ms/432v/1draw flush=0.09ms overlay=8.95ms swap=0.05ms entities=15 projectiles=6
06:24:25.992 frame=12.70ms map=0.06ms/175458v/1draw facility=1.32ms/28416v/1draw unit=2.56ms/32616v/1draw projectile=0.06ms/708v/1draw flush=0.05ms overlay=8.44ms swap=0.05ms entities=15 projectiles=6
06:24:28.143 frame=12.73ms map=0.06ms/175458v/1draw facility=1.33ms/28416v/1draw unit=2.60ms/32616v/1draw projectile=0.01ms/108v/1draw flush=0.07ms overlay=8.45ms swap=0.05ms entities=15 projectiles=3
06:24:30.269 frame=12.83ms map=0.07ms/175458v/1draw facility=1.51ms/28416v/1draw unit=2.57ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.04ms overlay=8.35ms swap=0.04ms entities=15 projectiles=0
06:24:32.384 frame=13.90ms map=0.06ms/175458v/1draw facility=1.40ms/29112v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=9.51ms swap=0.07ms entities=15 projectiles=0
06:24:34.533 frame=13.18ms map=0.06ms/175458v/1draw facility=1.40ms/29112v/1draw unit=2.57ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=8.90ms swap=0.05ms entities=15 projectiles=0
