06:34:27.860 total=2.21ms reload=0.00ms input=0.01ms motion=1.35ms filter=0.00ms rules=0.85ms select=0.00ms entities=15 projectiles=1
06:34:29.872 total=2.10ms reload=0.00ms input=0.01ms motion=1.36ms filter=0.00ms rules=0.72ms select=0.00ms entities=15 projectiles=0
06:34:31.879 total=1.99ms reload=0.00ms input=0.01ms motion=1.22ms filter=0.00ms rules=0.75ms select=0.00ms entities=15 projectiles=1
06:34:33.883 total=1.92ms reload=0.00ms input=0.01ms motion=1.38ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=0
06:34:35.896 total=37.75ms reload=0.00ms input=0.00ms motion=37.23ms filter=0.00ms rules=0.51ms select=0.00ms entities=15 projectiles=0
06:34:37.898 total=1.75ms reload=0.00ms input=0.01ms motion=1.21ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=0
06:34:39.916 total=1.81ms reload=0.00ms input=0.01ms motion=1.27ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=0
06:34:41.925 total=26.34ms reload=0.00ms input=0.01ms motion=25.77ms filter=0.01ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:34:43.934 total=25.75ms reload=0.00ms input=0.01ms motion=25.17ms filter=0.01ms rules=0.55ms select=0.01ms entities=15 projectiles=0
06:34:45.936 total=1.99ms reload=0.00ms input=0.01ms motion=1.42ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:46:36.832 total=33.71ms reload=0.14ms input=1.13ms motion=23.26ms filter=0.01ms rules=9.17ms select=0.01ms entities=15 projectiles=0
06:46:38.838 total=1.68ms reload=0.00ms input=0.01ms motion=0.96ms filter=0.00ms rules=0.71ms select=0.00ms entities=15 projectiles=0
06:46:40.888 total=94.11ms reload=0.00ms input=0.01ms motion=93.30ms filter=0.00ms rules=0.79ms select=0.01ms entities=15 projectiles=0
06:46:42.922 total=122.26ms reload=0.00ms input=0.01ms motion=121.67ms filter=0.00ms rules=0.58ms select=0.00ms entities=15 projectiles=0
06:46:44.942 total=121.60ms reload=0.00ms input=0.01ms motion=120.98ms filter=0.00ms rules=0.61ms select=0.00ms entities=15 projectiles=0
06:46:46.969 total=31.72ms reload=0.00ms input=0.00ms motion=30.97ms filter=0.00ms rules=0.73ms select=0.00ms entities=15 projectiles=1
06:46:49.025 total=61.77ms reload=0.00ms input=0.01ms motion=61.13ms filter=0.00ms rules=0.62ms select=0.00ms entities=15 projectiles=0
06:46:51.035 total=1.91ms reload=0.00ms input=0.01ms motion=1.32ms filter=0.00ms rules=0.57ms select=0.00ms entities=15 projectiles=0
06:46:53.053 total=2.04ms reload=0.00ms input=0.01ms motion=1.33ms filter=0.00ms rules=0.70ms select=0.00ms entities=15 projectiles=1
06:46:55.055 total=1.91ms reload=0.00ms input=0.01ms motion=1.35ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=0
06:46:57.065 total=1.87ms reload=0.00ms input=0.01ms motion=1.29ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:46:59.068 total=1.88ms reload=0.00ms input=0.01ms motion=1.32ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=0
06:47:01.075 total=1.99ms reload=0.00ms input=0.01ms motion=1.39ms filter=0.00ms rules=0.59ms select=0.00ms entities=15 projectiles=0
06:47:03.091 total=2.82ms reload=0.00ms input=0.01ms motion=1.48ms filter=0.00ms rules=1.32ms select=0.00ms entities=15 projectiles=7
06:47:05.106 total=2.22ms reload=0.00ms input=0.01ms motion=1.34ms filter=0.00ms rules=0.86ms select=0.00ms entities=15 projectiles=0
