06:34:33.795 frames=74 gapAvg=27.10ms gapMax=115.11ms simAvg=18.08ms simMax=102.29ms simSteps=64 fps=125.9
06:34:35.896 frames=75 gapAvg=27.05ms gapMax=118.28ms simAvg=18.97ms simMax=104.09ms simSteps=66 fps=25.7
06:34:37.830 frames=39 gapAvg=51.44ms gapMax=114.50ms simAvg=39.23ms simMax=102.07ms simSteps=52 fps=120.5
06:34:39.833 frames=231 gapAvg=8.67ms gapMax=45.06ms simAvg=1.10ms simMax=31.34ms simSteps=121 fps=126.1
06:34:41.885 frames=108 gapAvg=18.54ms gapMax=94.95ms simAvg=10.43ms simMax=81.33ms simSteps=84 fps=25.8
06:34:43.896 frames=30 gapAvg=67.07ms gapMax=96.18ms simAvg=53.84ms simMax=82.88ms simSteps=60 fps=15.4
06:34:45.847 frames=186 gapAvg=10.75ms gapMax=63.01ms simAvg=2.78ms simMax=50.86ms simSteps=108 fps=125.6
06:46:36.837 frames=1 gapAvg=653.09ms gapMax=653.09ms simAvg=41.12ms simMax=41.12ms simSteps=2 fps=91.0
06:46:38.798 frames=224 gapAvg=8.94ms gapMax=325.36ms simAvg=0.52ms simMax=2.25ms simSteps=106 fps=139.2
06:46:41.177 frames=57 gapAvg=38.53ms gapMax=200.28ms simAvg=33.76ms simMax=188.51ms simSteps=47 fps=37.7
06:46:43.294 frames=10 gapAvg=205.96ms gapMax=253.94ms simAvg=199.88ms simMax=243.02ms simSteps=20 fps=14.1
06:46:45.374 frames=8 gapAvg=252.40ms gapMax=253.91ms simAvg=248.81ms simMax=300.49ms simSteps=16 fps=7.6
06:46:47.189 frames=15 gapAvg=136.93ms gapMax=311.50ms simAvg=110.03ms simMax=211.05ms simSteps=30 fps=9.9
06:46:49.133 frames=190 gapAvg=10.55ms gapMax=73.30ms simAvg=3.02ms simMax=62.14ms simSteps=102 fps=136.3
06:46:51.144 frames=251 gapAvg=8.01ms gapMax=72.16ms simAvg=1.01ms simMax=60.96ms simSteps=121 fps=140.3
06:46:53.145 frames=255 gapAvg=7.86ms gapMax=73.01ms simAvg=0.82ms simMax=60.81ms simSteps=122 fps=139.6
06:46:55.149 frames=244 gapAvg=8.21ms gapMax=73.68ms simAvg=1.05ms simMax=61.14ms simSteps=120 fps=135.4
06:46:57.153 frames=246 gapAvg=8.15ms gapMax=72.93ms simAvg=1.02ms simMax=60.96ms simSteps=119 fps=140.2
06:46:59.157 frames=244 gapAvg=8.21ms gapMax=73.04ms simAvg=1.10ms simMax=61.20ms simSteps=120 fps=140.4
06:47:01.163 frames=225 gapAvg=8.92ms gapMax=74.27ms simAvg=1.84ms simMax=61.13ms simSteps=116 fps=138.4
06:47:03.170 frames=241 gapAvg=8.31ms gapMax=73.72ms simAvg=1.35ms simMax=61.56ms simSteps=119 fps=139.5
06:47:05.174 frames=230 gapAvg=8.72ms gapMax=75.01ms simAvg=1.47ms simMax=61.32ms simSteps=119 fps=136.5
06:47:07.175 frames=115 gapAvg=17.40ms gapMax=125.99ms simAvg=9.27ms simMax=113.01ms simSteps=85 fps=121.6
06:47:09.179 frames=187 gapAvg=10.71ms gapMax=76.21ms simAvg=3.45ms simMax=64.08ms simSteps=107 fps=131.4
06:47:11.178 frames=221 gapAvg=9.06ms gapMax=76.71ms simAvg=1.75ms simMax=63.94ms simSteps=117 fps=133.9
06:47:13.182 frames=227 gapAvg=8.82ms gapMax=74.57ms simAvg=1.40ms simMax=61.56ms simSteps=119 fps=128.9
06:47:15.276 frames=219 gapAvg=9.29ms gapMax=77.28ms simAvg=2.09ms simMax=61.87ms simSteps=116 fps=96.7
06:47:17.282 frames=26 gapAvg=77.17ms gapMax=134.95ms simAvg=63.38ms simMax=120.84ms simSteps=52 fps=16.4
06:47:19.334 frames=27 gapAvg=75.90ms gapMax=133.63ms simAvg=63.12ms simMax=120.66ms simSteps=54 fps=13.7
06:47:21.364 frames=27 gapAvg=75.26ms gapMax=133.00ms simAvg=63.17ms simMax=121.17ms simSteps=54 fps=13.6
06:47:23.376 frames=27 gapAvg=74.49ms gapMax=133.06ms simAvg=62.96ms simMax=120.98ms simSteps=54 fps=13.6
06:47:25.395 frames=27 gapAvg=74.80ms gapMax=132.64ms simAvg=63.03ms simMax=120.41ms simSteps=54 fps=13.2
06:47:27.339 frames=61 gapAvg=32.86ms gapMax=79.62ms simAvg=22.97ms simMax=64.59ms simSteps=64 fps=137.9
06:47:29.351 frames=247 gapAvg=8.14ms gapMax=44.12ms simAvg=0.95ms simMax=32.09ms simSteps=123 fps=138.5
06:47:31.353 frames=240 gapAvg=8.35ms gapMax=43.87ms simAvg=1.32ms simMax=31.91ms simSteps=121 fps=130.0
06:47:33.383 frames=246 gapAvg=8.24ms gapMax=43.55ms simAvg=1.22ms simMax=31.59ms simSteps=124 fps=140.5
06:47:35.382 frames=234 gapAvg=8.55ms gapMax=70.53ms simAvg=1.48ms simMax=58.50ms simSteps=117 fps=132.6
06:47:37.385 frames=221 gapAvg=9.06ms gapMax=47.61ms simAvg=1.69ms simMax=34.98ms simSteps=117 fps=118.2
06:47:39.391 frames=224 gapAvg=8.95ms gapMax=47.77ms simAvg=1.37ms simMax=34.81ms simSteps=120 fps=132.5
06:47:41.392 frames=209 gapAvg=9.58ms gapMax=77.94ms simAvg=1.88ms simMax=63.66ms simSteps=116 fps=134.4
06:47:43.487 frames=115 gapAvg=17.71ms gapMax=104.81ms simAvg=9.96ms simMax=91.94ms simSteps=85 fps=35.0
06:47:45.579 frames=28 gapAvg=73.61ms gapMax=105.88ms simAvg=61.90ms simMax=92.13ms simSteps=56 fps=14.4
06:47:47.601 frames=27 gapAvg=76.01ms gapMax=135.48ms simAvg=62.15ms simMax=121.42ms simSteps=54 fps=13.9
06:47:49.658 frames=27 gapAvg=76.20ms gapMax=104.47ms simAvg=63.70ms simMax=92.19ms simSteps=54 fps=13.7
06:47:51.704 frames=27 gapAvg=75.77ms gapMax=133.08ms simAvg=63.10ms simMax=120.59ms simSteps=54 fps=13.6
06:47:53.750 frames=27 gapAvg=75.77ms gapMax=104.21ms simAvg=63.44ms simMax=91.72ms simSteps=54 fps=13.4
06:47:55.830 frames=27 gapAvg=75.91ms gapMax=114.04ms simAvg=63.11ms simMax=92.08ms simSteps=54 fps=13.3
06:47:57.823 frames=27 gapAvg=75.00ms gapMax=103.57ms simAvg=61.46ms simMax=91.33ms simSteps=54 fps=13.2
06:47:59.885 frames=28 gapAvg=73.62ms gapMax=103.65ms simAvg=61.46ms simMax=91.23ms simSteps=56 fps=14.2
06:48:01.974 frames=28 gapAvg=74.65ms gapMax=104.15ms simAvg=62.61ms simMax=92.35ms simSteps=56 fps=14.2
06:48:04.015 frames=28 gapAvg=72.88ms gapMax=102.38ms simAvg=60.79ms simMax=90.35ms simSteps=56 fps=14.2
06:48:06.059 frames=27 gapAvg=75.71ms gapMax=102.91ms simAvg=63.64ms simMax=91.07ms simSteps=54 fps=13.5
06:48:08.117 frames=28 gapAvg=73.46ms gapMax=101.44ms simAvg=61.42ms simMax=89.39ms simSteps=56 fps=13.8
