frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.025,0.023,1.338,23.776,25.137,0.075,0.185,0.445,0.440,0.143,0.006
2,0.051,0.383,1.647,26.022,28.052,0.059,0.190,0.416,0.037,0.907,0.004
3,0.079,0.010,0.906,25.127,26.044,0.054,0.223,0.453,0.033,0.115,0.004
4,0.105,0.011,1.095,26.175,27.281,0.061,0.161,0.420,0.032,0.386,0.004
5,0.133,26.177,0.989,25.124,52.292,0.073,0.193,0.478,0.044,0.144,0.006
6,0.185,0.010,1.057,25.189,26.257,0.061,0.161,0.416,0.031,0.356,0.004
7,0.211,0.012,0.835,24.888,25.735,0.061,0.164,0.417,0.031,0.126,0.004
8,0.237,0.021,1.425,24.979,26.425,0.079,0.235,0.504,0.034,0.536,0.005
9,0.263,0.010,0.807,24.868,25.686,0.059,0.162,0.410,0.033,0.109,0.004
10,0.289,0.616,1.040,26.298,27.953,0.054,0.147,0.410,0.035,0.363,0.004
11,0.317,0.617,0.825,39.347,40.790,0.055,0.143,0.427,0.032,0.132,0.004
12,0.358,0.754,1.046,26.638,28.438,0.056,0.147,0.412,0.033,0.356,0.004
13,0.386,0.697,0.814,37.700,39.211,0.054,0.150,0.425,0.033,0.114,0.004
14,0.426,0.698,1.159,26.628,28.487,0.064,0.191,0.456,0.032,0.376,0.004
15,0.454,0.185,1.150,30.243,31.579,0.095,0.272,0.545,0.036,0.161,0.005
16,0.486,0.011,1.076,25.066,26.153,0.071,0.185,0.410,0.031,0.344,0.004
17,0.512,0.009,0.792,25.395,26.197,0.055,0.152,0.400,0.032,0.124,0.004
18,0.538,0.009,1.005,25.137,26.152,0.060,0.153,0.389,0.028,0.347,0.004
19,0.564,0.645,0.799,26.400,27.844,0.057,0.155,0.419,0.029,0.108,0.004
20,0.592,0.797,1.292,25.643,27.732,0.102,0.194,0.490,0.035,0.421,0.004
21,0.620,0.602,0.801,29.156,30.559,0.055,0.150,0.409,0.029,0.123,0.004
22,0.650,0.759,1.070,26.229,28.059,0.056,0.150,0.435,0.032,0.362,0.004
23,0.679,0.659,0.818,25.399,26.875,0.060,0.161,0.418,0.030,0.110,0.004
24,0.705,0.601,1.100,26.665,28.366,0.059,0.155,0.429,0.032,0.388,0.004
25,0.734,1.420,0.829,26.468,28.718,0.061,0.159,0.425,0.033,0.110,0.004
26,0.763,0.728,1.108,26.743,28.580,0.058,0.156,0.443,0.038,0.374,0.004
27,0.791,0.674,0.844,26.828,28.347,0.065,0.164,0.427,0.035,0.112,0.004
28,0.820,0.604,1.086,29.920,31.610,0.061,0.159,0.423,0.030,0.381,0.004
29,0.851,0.676,0.816,36.410,37.903,0.057,0.169,0.419,0.029,0.105,0.004
30,0.889,0.697,1.128,26.474,28.299,0.079,0.159,0.441,0.036,0.369,0.004
31,0.917,0.640,0.812,27.584,29.037,0.060,0.138,0.418,0.031,0.126,0.004
32,0.946,0.692,1.048,26.070,27.810,0.058,0.137,0.425,0.029,0.362,0.004
33,0.974,0.550,0.912,26.108,27.571,0.063,0.157,0.493,0.034,0.130,0.004
34,1.002,0.234,1.174,25.941,27.349,0.070,0.150,0.495,0.033,0.394,0.004
35,1.029,0.036,0.779,25.828,26.643,0.061,0.133,0.412,0.033,0.105,0.004
36,1.056,0.012,1.141,29.677,30.830,0.067,0.144,0.462,0.042,0.386,0.005
37,1.087,0.010,0.778,27.139,27.927,0.059,0.130,0.422,0.030,0.103,0.004
38,1.115,0.009,1.166,33.972,35.147,0.120,0.136,0.416,0.031,0.431,0.004
39,1.150,0.601,0.911,26.421,27.934,0.070,0.153,0.502,0.037,0.114,0.005
40,1.178,0.636,1.025,25.521,27.183,0.060,0.122,0.414,0.031,0.363,0.004
41,1.205,0.715,0.781,25.311,26.806,0.059,0.119,0.410,0.032,0.124,0.004
42,1.232,0.636,0.992,35.740,37.368,0.058,0.107,0.408,0.031,0.352,0.004
43,1.269,0.754,0.842,25.699,27.296,0.067,0.129,0.455,0.032,0.112,0.004
44,1.297,0.628,1.031,25.254,26.913,0.065,0.107,0.432,0.032,0.359,0.004
45,1.323,0.573,0.765,26.888,28.227,0.062,0.105,0.410,0.031,0.123,0.004
46,1.352,0.024,0.994,24.873,25.892,0.058,0.115,0.411,0.030,0.350,0.004
47,1.378,0.492,0.737,25.460,26.690,0.057,0.104,0.412,0.029,0.108,0.004
48,1.404,0.740,1.010,25.366,27.116,0.059,0.106,0.410,0.028,0.374,0.004
49,1.431,0.666,0.832,25.212,26.712,0.059,0.137,0.454,0.032,0.114,0.004
50,1.458,0.661,1.022,29.635,31.319,0.062,0.107,0.426,0.032,0.357,0.004
51,1.489,0.615,0.739,25.045,26.399,0.058,0.100,0.407,0.028,0.109,0.004
