frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.026,0.010,1.691,25.118,26.820,0.081,0.184,0.445,0.791,0.145,0.006
2,0.054,0.421,1.691,25.188,27.301,0.070,0.170,0.423,0.038,0.953,0.004
3,0.081,0.022,0.810,24.492,25.324,0.064,0.162,0.413,0.033,0.108,0.004
4,0.107,0.013,1.150,24.810,25.973,0.073,0.169,0.430,0.034,0.409,0.004
5,0.133,0.255,0.916,24.653,25.825,0.071,0.181,0.471,0.032,0.132,0.005
6,0.159,0.010,1.055,28.182,29.247,0.065,0.162,0.403,0.032,0.364,0.004
7,0.188,0.010,0.762,24.720,25.493,0.060,0.150,0.387,0.032,0.106,0.004
8,0.213,0.025,1.076,24.516,25.618,0.067,0.163,0.408,0.033,0.376,0.004
9,0.239,0.012,0.853,24.644,25.510,0.069,0.166,0.436,0.034,0.116,0.004
10,0.264,0.009,1.029,24.896,25.934,0.062,0.149,0.399,0.029,0.363,0.004
11,0.290,0.010,0.777,24.500,25.288,0.063,0.156,0.391,0.032,0.108,0.004
12,0.316,0.028,1.127,24.787,25.943,0.068,0.163,0.456,0.034,0.372,0.004
13,0.342,0.010,0.789,25.009,25.807,0.061,0.143,0.413,0.033,0.116,0.004
14,0.367,0.010,1.007,24.504,25.521,0.062,0.150,0.388,0.032,0.347,0.004
15,0.393,0.010,0.810,24.509,25.328,0.066,0.164,0.411,0.029,0.108,0.004
16,0.418,0.024,1.115,24.734,25.874,0.061,0.146,0.440,0.036,0.410,0.004
17,0.444,0.010,0.762,24.269,25.040,0.061,0.150,0.387,0.030,0.107,0.003
18,0.469,0.010,1.067,24.219,25.297,0.066,0.165,0.416,0.032,0.357,0.003
19,0.495,0.685,1.123,26.503,28.311,0.087,0.259,0.587,0.034,0.119,0.004
20,0.523,0.969,1.217,24.826,27.012,0.081,0.173,0.470,0.036,0.416,0.004
21,0.550,0.618,0.913,25.951,27.484,0.079,0.155,0.479,0.038,0.119,0.004
22,0.577,0.633,1.270,35.771,37.675,0.065,0.165,0.565,0.043,0.393,0.004
23,0.615,0.685,0.823,25.395,26.904,0.062,0.153,0.409,0.030,0.128,0.004
24,0.642,0.881,1.054,24.868,26.804,0.074,0.115,0.425,0.036,0.367,0.003
25,0.669,1.258,0.808,41.048,43.115,0.067,0.107,0.440,0.038,0.119,0.004
26,0.712,1.076,1.136,30.419,32.631,0.085,0.114,0.454,0.036,0.397,0.004
27,0.745,0.899,0.885,24.930,26.715,0.092,0.118,0.459,0.039,0.123,0.004
28,0.771,0.582,0.998,25.096,26.677,0.069,0.096,0.392,0.029,0.380,0.004
29,0.798,0.590,0.737,25.079,26.407,0.061,0.099,0.403,0.030,0.112,0.003
30,0.825,0.683,1.167,24.669,26.519,0.072,0.117,0.491,0.036,0.413,0.004
31,0.851,0.622,0.758,24.801,26.182,0.065,0.100,0.418,0.030,0.112,0.004
32,0.877,0.745,1.109,24.671,26.527,0.081,0.111,0.458,0.036,0.380,0.004
33,0.904,0.546,0.819,25.045,26.411,0.061,0.094,0.451,0.040,0.145,0.004
34,0.930,0.076,1.029,24.777,25.882,0.065,0.100,0.430,0.028,0.377,0.004
35,0.956,0.582,0.757,24.495,25.835,0.065,0.100,0.415,0.030,0.114,0.004
36,0.982,0.784,1.075,24.387,26.247,0.075,0.111,0.439,0.036,0.377,0.004
37,1.008,0.570,0.864,24.989,26.423,0.075,0.103,0.464,0.038,0.149,0.004
