22:13:14.209 total=58.71ms control=25.74ms rotation=1.09ms vertical=0.37ms translation=27.88ms movable=10
22:13:16.232 total=29.98ms control=21.83ms rotation=0.03ms vertical=0.00ms translation=8.08ms movable=10
22:13:18.251 total=29.92ms control=24.60ms rotation=0.03ms vertical=0.00ms translation=5.26ms movable=10
22:13:20.268 total=15.34ms control=8.99ms rotation=0.01ms vertical=0.00ms translation=6.31ms movable=10
22:13:22.293 total=18.76ms control=12.25ms rotation=0.02ms vertical=0.00ms translation=6.46ms movable=10
22:13:24.313 total=44.13ms control=21.20ms rotation=0.03ms vertical=0.00ms translation=22.87ms movable=10
22:13:26.321 total=19.43ms control=13.25ms rotation=0.03ms vertical=0.00ms translation=6.13ms movable=10
22:13:28.337 total=24.60ms control=18.97ms rotation=0.03ms vertical=0.00ms translation=5.57ms movable=10
22:13:30.354 total=30.62ms control=23.38ms rotation=0.03ms vertical=0.00ms translation=7.19ms movable=10
22:14:37.206 total=19.17ms control=11.39ms rotation=0.07ms vertical=0.00ms translation=7.62ms movable=10
22:14:39.212 total=7.92ms control=0.11ms rotation=0.08ms vertical=0.00ms translation=7.67ms movable=10
22:14:41.235 total=50.65ms control=0.08ms rotation=0.06ms vertical=0.00ms translation=50.45ms movable=10
22:14:43.261 total=40.47ms control=0.06ms rotation=0.04ms vertical=0.00ms translation=40.35ms movable=10
22:14:45.284 total=41.27ms control=0.17ms rotation=0.06ms vertical=0.00ms translation=40.99ms movable=10
22:14:47.288 total=7.91ms control=0.30ms rotation=0.05ms vertical=0.00ms translation=7.53ms movable=10
22:14:49.298 total=7.38ms control=0.26ms rotation=0.04ms vertical=0.00ms translation=7.07ms movable=10
22:14:51.311 total=29.70ms control=0.27ms rotation=0.04ms vertical=0.00ms translation=29.36ms movable=10
22:14:53.342 total=29.41ms control=0.28ms rotation=0.04ms vertical=0.00ms translation=29.06ms movable=10
22:14:55.348 total=30.58ms control=0.79ms rotation=0.05ms vertical=0.00ms translation=29.70ms movable=10
22:14:57.349 total=6.63ms control=0.28ms rotation=0.04ms vertical=0.00ms translation=6.29ms movable=10
22:14:59.357 total=7.86ms control=0.32ms rotation=0.05ms vertical=0.00ms translation=7.47ms movable=10
22:15:01.369 total=6.72ms control=0.30ms rotation=0.04ms vertical=0.00ms translation=6.34ms movable=10
22:15:03.370 total=16.40ms control=0.29ms rotation=0.05ms vertical=0.00ms translation=16.02ms movable=10
22:15:05.381 total=6.29ms control=0.27ms rotation=0.04ms vertical=0.00ms translation=5.95ms movable=10
22:15:07.396 total=21.80ms control=0.36ms rotation=0.06ms vertical=0.00ms translation=21.33ms movable=10
22:24:59.604 total=67.73ms control=33.35ms rotation=1.96ms vertical=0.38ms translation=28.25ms movable=10
22:25:01.646 total=47.45ms control=0.06ms rotation=0.05ms vertical=0.00ms translation=47.31ms movable=10
22:25:03.658 total=25.20ms control=0.06ms rotation=0.04ms vertical=0.00ms translation=25.08ms movable=10
22:25:05.663 total=9.25ms control=0.18ms rotation=0.04ms vertical=0.00ms translation=9.01ms movable=10
22:25:07.690 total=31.57ms control=0.14ms rotation=0.04ms vertical=0.00ms translation=31.36ms movable=10
22:25:09.707 total=7.15ms control=0.57ms rotation=0.04ms vertical=0.00ms translation=6.53ms movable=10
22:25:11.739 total=32.75ms control=1.82ms rotation=0.04ms vertical=0.00ms translation=30.84ms movable=10
22:25:13.749 total=32.28ms control=3.25ms rotation=0.07ms vertical=0.00ms translation=28.92ms movable=10
22:25:15.777 total=19.21ms control=1.88ms rotation=0.05ms vertical=0.00ms translation=17.26ms movable=10
22:25:17.786 total=8.63ms control=2.32ms rotation=0.04ms vertical=0.00ms translation=6.25ms movable=10
22:25:19.789 total=21.52ms control=1.97ms rotation=0.04ms vertical=0.00ms translation=19.48ms movable=10
22:25:21.792 total=16.05ms control=2.00ms rotation=0.04ms vertical=0.00ms translation=13.98ms movable=10
22:25:23.807 total=8.05ms control=2.19ms rotation=0.04ms vertical=0.00ms translation=5.80ms movable=10
22:25:25.814 total=16.11ms control=0.24ms rotation=0.04ms vertical=0.00ms translation=15.81ms movable=10
22:25:28.495 total=9.25ms control=0.25ms rotation=0.04ms vertical=0.00ms translation=8.93ms movable=10
22:25:30.501 total=7.21ms control=0.37ms rotation=0.04ms vertical=0.00ms translation=6.78ms movable=10
22:36:44.911 total=64.42ms control=30.67ms rotation=2.11ms vertical=0.34ms translation=28.13ms movable=10
22:36:46.930 total=7.07ms control=0.08ms rotation=0.05ms vertical=0.00ms translation=6.92ms movable=10
22:36:48.936 total=51.58ms control=0.06ms rotation=0.05ms vertical=0.00ms translation=51.44ms movable=10
22:36:50.943 total=13.09ms control=0.94ms rotation=0.05ms vertical=0.00ms translation=12.07ms movable=10
22:36:52.943 total=6.42ms control=0.14ms rotation=0.04ms vertical=0.00ms translation=6.21ms movable=10
22:36:54.960 total=9.64ms control=0.21ms rotation=0.06ms vertical=0.00ms translation=9.33ms movable=10
22:36:56.975 total=45.92ms control=1.16ms rotation=0.06ms vertical=0.00ms translation=44.66ms movable=10
22:36:58.977 total=9.22ms control=0.14ms rotation=0.05ms vertical=0.00ms translation=9.01ms movable=10
22:37:00.982 total=6.91ms control=0.13ms rotation=0.04ms vertical=0.00ms translation=6.72ms movable=10
22:37:03.003 total=7.58ms control=0.15ms rotation=0.04ms vertical=0.00ms translation=7.37ms movable=10
22:37:05.029 total=28.19ms control=0.15ms rotation=0.06ms vertical=0.00ms translation=27.93ms movable=10
22:37:07.057 total=24.76ms control=0.15ms rotation=0.07ms vertical=0.00ms translation=24.51ms movable=10
22:37:09.059 total=6.86ms control=0.12ms rotation=0.04ms vertical=0.00ms translation=6.68ms movable=10
