22:15:02.391 frame=4.03ms map=0.80ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.91ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:15:04.407 frame=3.85ms map=0.72ms/31535976v/1draw/31535976resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:15:06.426 frame=10.61ms map=0.76ms/31535976v/1draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.61ms swap=0.08ms entities=11 projectiles=0
22:24:55.709 frame=97.08ms map=20.02ms/0v/0draw/0resident/0pending facility=5.27ms/252v/1draw unit=7.52ms/33336v/1draw projectile=0.72ms/0v/0draw flush=4.50ms overlay=52.63ms swap=0.19ms entities=11 projectiles=0
22:24:57.713 frame=3.34ms map=0.34ms/22171245v/97draw/22171245resident/0pending facility=0.02ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.03ms entities=11 projectiles=0
22:24:59.723 frame=9.91ms map=0.45ms/22171245v/97draw/22171245resident/0pending facility=0.03ms/252v/1draw unit=2.97ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.15ms swap=0.05ms entities=11 projectiles=0
22:25:01.780 frame=10.60ms map=0.32ms/22120527v/96draw/22171245resident/0pending facility=0.03ms/252v/1draw unit=2.99ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=7.00ms swap=0.05ms entities=11 projectiles=0
22:25:03.789 frame=3.88ms map=0.41ms/19267074v/85draw/24580131resident/0pending facility=0.03ms/252v/1draw unit=3.13ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:05.790 frame=12.92ms map=0.37ms/18217350v/57draw/25259235resident/0pending facility=0.03ms/252v/1draw unit=3.19ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=9.00ms swap=0.06ms entities=11 projectiles=0
22:25:07.811 frame=3.44ms map=0.27ms/18014505v/55draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:09.818 frame=3.51ms map=0.34ms/18012609v/51draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:11.831 frame=11.02ms map=0.36ms/19268586v/75draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=3.41ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.92ms swap=0.05ms entities=11 projectiles=0
22:25:13.851 frame=3.47ms map=0.31ms/19268754v/76draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:15.856 frame=12.55ms map=0.41ms/19268754v/76draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=2.90ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=8.92ms swap=0.05ms entities=11 projectiles=0
22:25:17.859 frame=10.97ms map=0.36ms/19268754v/76draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=7.49ms swap=0.05ms entities=11 projectiles=0
22:25:19.865 frame=3.57ms map=0.37ms/19273059v/80draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:21.871 frame=3.55ms map=0.33ms/19273059v/80draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:25:23.873 frame=3.53ms map=0.35ms/19273059v/80draw/25259580resident/0pending facility=0.02ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:25:25.880 frame=18.48ms map=0.37ms/19268754v/76draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=3.17ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=14.69ms swap=0.04ms entities=11 projectiles=0
22:25:28.482 frame=11.39ms map=0.77ms/19268754v/76draw/25259580resident/0pending facility=0.03ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=7.47ms swap=0.05ms entities=11 projectiles=0
22:25:30.487 frame=3.69ms map=0.45ms/19269651v/78draw/31535976resident/0pending facility=0.04ms/252v/1draw unit=2.89ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:36:41.509 frame=81.19ms map=17.14ms/17761632v/16draw/13719resident/73pending facility=4.60ms/252v/1draw unit=6.86ms/33336v/1draw projectile=0.70ms/0v/0draw flush=1.20ms overlay=46.55ms swap=0.19ms entities=11 projectiles=0
22:36:43.511 frame=16.46ms map=0.34ms/17761632v/89draw/17761632resident/0pending facility=0.03ms/252v/1draw unit=2.81ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=13.10ms swap=0.05ms entities=11 projectiles=0
22:36:45.527 frame=46.35ms map=13.81ms/20170278v/96draw/20170278resident/0pending facility=0.05ms/252v/1draw unit=3.04ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=28.94ms swap=0.05ms entities=11 projectiles=0
22:36:47.600 frame=20.87ms map=10.81ms/9450924v/19draw/27127263resident/0pending facility=0.04ms/252v/1draw unit=2.94ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.77ms swap=0.05ms entities=11 projectiles=0
22:36:49.616 frame=3.69ms map=0.36ms/15599085v/85draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=3.01ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:36:51.630 frame=3.47ms map=0.26ms/13232025v/40draw/27132243resident/0pending facility=0.02ms/252v/1draw unit=2.92ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:36:53.634 frame=3.83ms map=0.35ms/14831154v/71draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=3.08ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:36:55.693 frame=10.08ms map=0.30ms/15597633v/83draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.88ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.61ms swap=0.05ms entities=11 projectiles=0
22:36:57.695 frame=3.57ms map=0.35ms/15595080v/83draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.80ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.03ms entities=11 projectiles=0
22:36:59.697 frame=10.34ms map=0.82ms/15593550v/81draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.32ms swap=0.05ms entities=11 projectiles=0
22:37:01.706 frame=10.55ms map=0.90ms/14829726v/65draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.92ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.37ms swap=0.05ms entities=11 projectiles=0
22:37:03.709 frame=3.41ms map=0.34ms/14831067v/63draw/27132243resident/0pending facility=0.02ms/252v/1draw unit=2.81ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:05.714 frame=4.11ms map=0.85ms/14835231v/68draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.90ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:37:07.714 frame=3.95ms map=0.79ms/13596879v/63draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:09.715 frame=4.38ms map=0.87ms/13413984v/61draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.81ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:37:11.735 frame=5.58ms map=1.17ms/12091641v/45draw/27132243resident/0pending facility=0.05ms/252v/1draw unit=3.98ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=0.01ms swap=0.08ms entities=11 projectiles=0
22:37:13.749 frame=10.26ms map=0.76ms/12910854v/48draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.37ms swap=0.05ms entities=11 projectiles=0
22:37:15.783 frame=13.43ms map=1.40ms/15592473v/75draw/27132243resident/0pending facility=0.05ms/252v/1draw unit=4.35ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.10ms overlay=7.18ms swap=0.05ms entities=11 projectiles=0
22:37:17.791 frame=4.06ms map=0.85ms/20851569v/101draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.80ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:37:19.804 frame=4.07ms map=0.79ms/20172558v/99draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:37:21.818 frame=4.13ms map=0.91ms/16503207v/78draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:23.820 frame=3.82ms map=0.78ms/22921203v/106draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.80ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:37:25.824 frame=6.07ms map=1.13ms/777213v/20draw/27132243resident/0pending facility=0.05ms/252v/1draw unit=4.12ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=0.01ms swap=0.07ms entities=11 projectiles=0
22:37:27.826 frame=4.10ms map=0.75ms/564567v/13draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.85ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:29.840 frame=3.87ms map=0.68ms/13406361v/46draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:31.854 frame=3.98ms map=0.79ms/14097282v/68draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.86ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:37:33.855 frame=3.84ms map=0.76ms/14089962v/61draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=0
22:37:35.857 frame=4.03ms map=0.71ms/13583964v/44draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.80ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:37.866 frame=4.16ms map=0.79ms/26446671v/103draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.98ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:39.874 frame=4.01ms map=0.80ms/20852430v/101draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=0
22:37:41.894 frame=10.27ms map=0.79ms/15380148v/72draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.32ms swap=0.04ms entities=11 projectiles=0
22:37:43.898 frame=3.89ms map=0.75ms/15228954v/57draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.80ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.06ms entities=11 projectiles=0
22:37:45.916 frame=10.79ms map=0.84ms/14826516v/59draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.75ms swap=0.05ms entities=11 projectiles=0
22:37:47.924 frame=3.74ms map=0.41ms/14823144v/57draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.99ms/33336v/1draw projectile=0.01ms/135v/1draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=9
22:37:49.968 frame=13.19ms map=0.65ms/14826516v/59draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.86ms/33300v/1draw projectile=0.03ms/225v/1draw flush=0.08ms overlay=9.32ms swap=0.05ms entities=11 projectiles=18
22:37:51.976 frame=3.96ms map=0.79ms/14826516v/59draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.82ms/33300v/1draw projectile=0.01ms/60v/1draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=7
22:37:53.977 frame=4.05ms map=0.75ms/14826516v/59draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.80ms/33300v/1draw projectile=0.03ms/345v/1draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=24
22:37:55.984 frame=4.00ms map=0.75ms/14092191v/65draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.85ms/33300v/1draw projectile=0.01ms/0v/0draw flush=0.07ms overlay=0.01ms swap=0.12ms entities=11 projectiles=13
22:37:57.985 frame=4.51ms map=0.77ms/13595721v/60draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33300v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=2
22:37:59.985 frame=4.31ms map=1.03ms/15587463v/78draw/27132243resident/0pending facility=0.05ms/252v/1draw unit=2.87ms/33300v/1draw projectile=0.00ms/15v/1draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:01.994 frame=3.94ms map=0.79ms/17767512v/97draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.82ms/33300v/1draw projectile=0.00ms/15v/1draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:04.007 frame=3.92ms map=0.77ms/15599013v/88draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.84ms/33300v/1draw projectile=0.00ms/15v/1draw flush=0.06ms overlay=0.01ms swap=0.04ms entities=11 projectiles=1
22:38:06.022 frame=4.29ms map=0.85ms/14829204v/65draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=3.12ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.05ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:08.034 frame=4.40ms map=0.91ms/14871417v/83draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=3.03ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.07ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:10.045 frame=3.99ms map=0.82ms/15598908v/87draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/15v/1draw flush=0.07ms overlay=0.01ms swap=0.04ms entities=11 projectiles=1
22:38:12.051 frame=9.60ms map=0.93ms/15597681v/84draw/27132243resident/0pending facility=0.04ms/252v/1draw unit=2.92ms/33336v/1draw projectile=0.01ms/15v/1draw flush=0.07ms overlay=5.39ms swap=0.05ms entities=11 projectiles=1
22:38:14.056 frame=10.69ms map=0.83ms/14330328v/56draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.72ms swap=0.05ms entities=11 projectiles=1
22:38:16.057 frame=3.93ms map=0.78ms/14330328v/56draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.84ms/33336v/1draw projectile=0.01ms/60v/1draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=5
22:38:18.064 frame=13.02ms map=0.40ms/14330328v/56draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.87ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=9.08ms swap=0.05ms entities=11 projectiles=1
22:38:20.067 frame=3.62ms map=0.30ms/14329461v/55draw/27132243resident/0pending facility=0.02ms/252v/1draw unit=2.80ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.01ms swap=0.04ms entities=11 projectiles=2
22:38:22.119 frame=3.95ms map=0.74ms/11254896v/43draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.82ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.12ms entities=11 projectiles=2
22:38:24.146 frame=4.35ms map=0.72ms/12313857v/39draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=3.29ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=0.01ms swap=0.05ms entities=11 projectiles=1
22:38:26.148 frame=10.75ms map=0.40ms/14627574v/62draw/27132243resident/0pending facility=0.03ms/252v/1draw unit=2.83ms/33336v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=7.22ms swap=0.06ms entities=11 projectiles=1
