22:21:30.369 total=0.31ms respawn=0.05ms interaction=0.03ms combat=0.22ms entities=15 projectiles=7
22:21:32.383 total=2.50ms respawn=0.04ms interaction=0.02ms combat=2.43ms entities=15 projectiles=14
22:21:34.388 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:21:36.395 total=0.48ms respawn=0.04ms interaction=0.02ms combat=0.42ms entities=15 projectiles=26
22:21:38.409 total=0.28ms respawn=0.04ms interaction=0.02ms combat=0.22ms entities=15 projectiles=18
22:21:40.416 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:21:42.423 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:21:44.436 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:21:46.457 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:21:48.476 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:21:50.503 total=0.22ms respawn=0.11ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:21:52.508 total=0.16ms respawn=0.04ms interaction=0.03ms combat=0.09ms entities=15 projectiles=1
22:21:54.509 total=0.23ms respawn=0.06ms interaction=0.02ms combat=0.15ms entities=15 projectiles=1
22:21:56.524 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:21:58.525 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:00.535 total=0.17ms respawn=0.05ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:02.554 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:22:04.571 total=0.22ms respawn=0.04ms interaction=0.09ms combat=0.09ms entities=15 projectiles=1
22:22:06.573 total=0.22ms respawn=0.06ms interaction=0.03ms combat=0.13ms entities=15 projectiles=1
22:22:08.586 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=1
22:22:10.595 total=0.27ms respawn=0.04ms interaction=0.02ms combat=0.20ms entities=15 projectiles=7
22:22:12.597 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:14.614 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=2
22:22:16.616 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=2
22:22:18.623 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=2
22:22:20.627 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:22.630 total=0.28ms respawn=0.06ms interaction=0.03ms combat=0.19ms entities=15 projectiles=1
22:22:24.633 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:22:26.642 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:28.651 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:22:30.651 total=0.12ms respawn=0.03ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:22:32.683 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:34.690 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:36.719 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=1
22:22:38.742 total=0.18ms respawn=0.04ms interaction=0.02ms combat=0.12ms entities=15 projectiles=2
22:22:40.756 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
