22:20:56.155 total=1.13ms reload=0.04ms input=0.01ms motion=0.56ms filter=0.00ms rules=0.51ms select=0.01ms entities=15 projectiles=0
22:20:58.159 total=1.15ms reload=0.03ms input=0.01ms motion=0.51ms filter=0.00ms rules=0.59ms select=0.01ms entities=15 projectiles=0
22:21:00.161 total=1.03ms reload=0.05ms input=0.01ms motion=0.50ms filter=0.00ms rules=0.47ms select=0.00ms entities=15 projectiles=0
22:21:02.169 total=1.05ms reload=0.05ms input=0.01ms motion=0.51ms filter=0.00ms rules=0.47ms select=0.00ms entities=15 projectiles=0
22:21:04.187 total=3.00ms reload=0.04ms input=0.01ms motion=2.50ms filter=0.00ms rules=0.44ms select=0.00ms entities=15 projectiles=0
22:21:06.204 total=1.79ms reload=0.04ms input=0.01ms motion=1.27ms filter=0.00ms rules=0.46ms select=0.00ms entities=15 projectiles=0
22:21:08.218 total=1.85ms reload=0.04ms input=0.01ms motion=1.13ms filter=0.00ms rules=0.67ms select=0.00ms entities=15 projectiles=13
22:21:10.229 total=1.91ms reload=0.04ms input=0.01ms motion=0.97ms filter=0.00ms rules=0.88ms select=0.00ms entities=15 projectiles=24
22:21:12.238 total=2.03ms reload=0.06ms input=0.02ms motion=1.07ms filter=0.00ms rules=0.87ms select=0.01ms entities=15 projectiles=30
22:21:14.240 total=2.35ms reload=0.05ms input=0.01ms motion=1.05ms filter=0.00ms rules=1.23ms select=0.00ms entities=15 projectiles=24
22:21:16.263 total=2.64ms reload=0.11ms input=0.01ms motion=1.18ms filter=0.00ms rules=1.33ms select=0.00ms entities=15 projectiles=11
22:21:18.269 total=1.62ms reload=0.04ms input=0.01ms motion=1.04ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=2
22:21:20.293 total=1.73ms reload=0.03ms input=0.01ms motion=1.15ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=2
22:21:22.316 total=1.57ms reload=0.04ms input=0.01ms motion=0.95ms filter=0.00ms rules=0.57ms select=0.01ms entities=15 projectiles=4
22:21:24.339 total=1.59ms reload=0.03ms input=0.01ms motion=0.93ms filter=0.00ms rules=0.62ms select=0.00ms entities=15 projectiles=4
22:21:26.345 total=1.69ms reload=0.04ms input=0.01ms motion=1.05ms filter=0.00ms rules=0.59ms select=0.00ms entities=15 projectiles=5
22:21:28.363 total=2.39ms reload=0.16ms input=0.02ms motion=1.31ms filter=0.01ms rules=0.88ms select=0.01ms entities=15 projectiles=3
22:21:30.369 total=2.09ms reload=0.03ms input=0.01ms motion=1.11ms filter=0.00ms rules=0.93ms select=0.01ms entities=15 projectiles=7
22:21:32.383 total=3.99ms reload=0.03ms input=0.01ms motion=0.98ms filter=0.00ms rules=2.97ms select=0.01ms entities=15 projectiles=14
22:21:34.388 total=1.63ms reload=0.05ms input=0.01ms motion=1.04ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=1
22:21:36.395 total=2.25ms reload=0.12ms input=0.01ms motion=1.22ms filter=0.00ms rules=0.89ms select=0.00ms entities=15 projectiles=26
22:21:38.409 total=1.90ms reload=0.05ms input=0.01ms motion=1.16ms filter=0.00ms rules=0.68ms select=0.00ms entities=15 projectiles=18
22:21:40.416 total=2.29ms reload=0.04ms input=0.01ms motion=1.47ms filter=0.00ms rules=0.75ms select=0.01ms entities=15 projectiles=1
22:21:42.423 total=1.72ms reload=0.03ms input=0.01ms motion=1.16ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:21:44.437 total=1.43ms reload=0.04ms input=0.01ms motion=0.86ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:21:46.458 total=1.94ms reload=0.03ms input=0.01ms motion=1.36ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:21:48.477 total=2.21ms reload=0.04ms input=0.01ms motion=1.47ms filter=0.00ms rules=0.69ms select=0.00ms entities=15 projectiles=1
22:21:50.503 total=2.08ms reload=0.05ms input=0.01ms motion=1.39ms filter=0.00ms rules=0.62ms select=0.00ms entities=15 projectiles=1
