22:18:22.521 source=RMUC2026_MAP.terraincache.lz4 original_triangle_gpu_stream=enabled
22:18:22.528 source=RMUC2026_MAP.terraincache.lz4 gpu_chunk_build=background_started
22:18:25.027 source=RMUC2026_MAP.terraincache.lz4 original_triangle_gpu_stream=enabled
22:19:48.360 gpu_stream visible_vertices=14867121 resident_vertices=26463339 draw_calls=73 pending_upload_chunks=0 total_triangles=8821113
22:19:50.611 gpu_stream visible_vertices=14867121 resident_vertices=26463339 draw_calls=73 pending_upload_chunks=0 total_triangles=8821113
22:19:52.631 gpu_stream visible_vertices=14867121 resident_vertices=26463339 draw_calls=73 pending_upload_chunks=0 total_triangles=8821113
22:19:54.642 gpu_stream visible_vertices=14859078 resident_vertices=26463339 draw_calls=64 pending_upload_chunks=0 total_triangles=8821113
22:19:57.680 source=RMUC2026_MAP.terraincache.lz4 original_triangle_gpu_stream=enabled
22:19:57.685 gpu_stream visible_vertices=23367285 resident_vertices=26463339 draw_calls=94 pending_upload_chunks=0 total_triangles=8821113
22:19:59.695 gpu_stream visible_vertices=23367285 resident_vertices=26463339 draw_calls=94 pending_upload_chunks=0 total_triangles=8821113
22:20:01.698 gpu_stream visible_vertices=12202008 resident_vertices=26463339 draw_calls=26 pending_upload_chunks=0 total_triangles=8821113
22:20:03.723 gpu_stream visible_vertices=11578314 resident_vertices=26463339 draw_calls=20 pending_upload_chunks=0 total_triangles=8821113
22:20:05.729 gpu_stream visible_vertices=12202824 resident_vertices=26463339 draw_calls=27 pending_upload_chunks=0 total_triangles=8821113
22:20:07.750 gpu_stream visible_vertices=14876103 resident_vertices=26463339 draw_calls=88 pending_upload_chunks=0 total_triangles=8821113
22:20:09.774 gpu_stream visible_vertices=14695623 resident_vertices=26463339 draw_calls=68 pending_upload_chunks=0 total_triangles=8821113
22:20:11.790 gpu_stream visible_vertices=14091357 resident_vertices=26463339 draw_calls=60 pending_upload_chunks=0 total_triangles=8821113
22:20:13.798 gpu_stream visible_vertices=14073807 resident_vertices=26463339 draw_calls=53 pending_upload_chunks=0 total_triangles=8821113
22:20:15.812 gpu_stream visible_vertices=11515404 resident_vertices=26463339 draw_calls=19 pending_upload_chunks=0 total_triangles=8821113
22:20:17.817 gpu_stream visible_vertices=9361200 resident_vertices=26463339 draw_calls=15 pending_upload_chunks=0 total_triangles=8821113
22:20:19.823 gpu_stream visible_vertices=5251911 resident_vertices=26463339 draw_calls=22 pending_upload_chunks=0 total_triangles=8821113
22:20:21.850 gpu_stream visible_vertices=5250345 resident_vertices=26463339 draw_calls=21 pending_upload_chunks=0 total_triangles=8821113
22:20:23.870 gpu_stream visible_vertices=5240106 resident_vertices=26463339 draw_calls=10 pending_upload_chunks=0 total_triangles=8821113
22:20:25.882 gpu_stream visible_vertices=5240106 resident_vertices=26463339 draw_calls=10 pending_upload_chunks=0 total_triangles=8821113
22:20:27.904 gpu_stream visible_vertices=5241081 resident_vertices=26463339 draw_calls=13 pending_upload_chunks=0 total_triangles=8821113
22:20:29.930 gpu_stream visible_vertices=5241081 resident_vertices=26463339 draw_calls=13 pending_upload_chunks=0 total_triangles=8821113
22:20:31.952 gpu_stream visible_vertices=5240877 resident_vertices=26463339 draw_calls=12 pending_upload_chunks=0 total_triangles=8821113
22:20:33.955 gpu_stream visible_vertices=5240877 resident_vertices=26463339 draw_calls=12 pending_upload_chunks=0 total_triangles=8821113
22:20:35.975 gpu_stream visible_vertices=5240877 resident_vertices=26463339 draw_calls=12 pending_upload_chunks=0 total_triangles=8821113
22:20:37.983 gpu_stream visible_vertices=5240877 resident_vertices=26463339 draw_calls=12 pending_upload_chunks=0 total_triangles=8821113
22:20:39.999 gpu_stream visible_vertices=5240877 resident_vertices=26463339 draw_calls=12 pending_upload_chunks=0 total_triangles=8821113
22:20:42.011 gpu_stream visible_vertices=5240877 resident_vertices=26463339 draw_calls=12 pending_upload_chunks=0 total_triangles=8821113
22:20:44.021 gpu_stream visible_vertices=5240877 resident_vertices=26463339 draw_calls=12 pending_upload_chunks=0 total_triangles=8821113
22:20:46.031 gpu_stream visible_vertices=11518656 resident_vertices=26463339 draw_calls=20 pending_upload_chunks=0 total_triangles=8821113
22:20:48.032 gpu_stream visible_vertices=11516310 resident_vertices=26463339 draw_calls=14 pending_upload_chunks=0 total_triangles=8821113
22:20:50.036 gpu_stream visible_vertices=12295233 resident_vertices=26463339 draw_calls=36 pending_upload_chunks=0 total_triangles=8821113
22:20:52.041 gpu_stream visible_vertices=5247648 resident_vertices=26463339 draw_calls=22 pending_upload_chunks=0 total_triangles=8821113
22:20:54.041 gpu_stream visible_vertices=5243262 resident_vertices=26463339 draw_calls=16 pending_upload_chunks=0 total_triangles=8821113
22:20:56.052 gpu_stream visible_vertices=5239638 resident_vertices=26463339 draw_calls=9 pending_upload_chunks=0 total_triangles=8821113
22:20:58.054 gpu_stream visible_vertices=5249181 resident_vertices=26463339 draw_calls=20 pending_upload_chunks=0 total_triangles=8821113
22:21:00.074 gpu_stream visible_vertices=20160819 resident_vertices=26463339 draw_calls=92 pending_upload_chunks=0 total_triangles=8821113
22:21:02.086 gpu_stream visible_vertices=17085396 resident_vertices=26463339 draw_calls=93 pending_upload_chunks=0 total_triangles=8821113
22:21:04.099 gpu_stream visible_vertices=14091891 resident_vertices=26463339 draw_calls=60 pending_upload_chunks=0 total_triangles=8821113
22:21:06.122 gpu_stream visible_vertices=11520555 resident_vertices=26463339 draw_calls=28 pending_upload_chunks=0 total_triangles=8821113
22:21:08.124 gpu_stream visible_vertices=11519859 resident_vertices=26463339 draw_calls=23 pending_upload_chunks=0 total_triangles=8821113
22:21:10.141 gpu_stream visible_vertices=11520132 resident_vertices=26463339 draw_calls=25 pending_upload_chunks=0 total_triangles=8821113
22:21:12.144 gpu_stream visible_vertices=11520132 resident_vertices=26463339 draw_calls=25 pending_upload_chunks=0 total_triangles=8821113
22:21:14.171 gpu_stream visible_vertices=12290565 resident_vertices=26463339 draw_calls=33 pending_upload_chunks=0 total_triangles=8821113
22:21:16.176 gpu_stream visible_vertices=9376767 resident_vertices=26463339 draw_calls=18 pending_upload_chunks=0 total_triangles=8821113
22:21:18.197 gpu_stream visible_vertices=9358437 resident_vertices=26463339 draw_calls=10 pending_upload_chunks=0 total_triangles=8821113
22:21:20.208 gpu_stream visible_vertices=24209550 resident_vertices=26463339 draw_calls=77 pending_upload_chunks=0 total_triangles=8821113
22:21:22.230 gpu_stream visible_vertices=23375214 resident_vertices=26463339 draw_calls=102 pending_upload_chunks=0 total_triangles=8821113
22:21:24.253 gpu_stream visible_vertices=14927841 resident_vertices=26463339 draw_calls=90 pending_upload_chunks=0 total_triangles=8821113
22:21:26.262 gpu_stream visible_vertices=14926062 resident_vertices=26463339 draw_calls=86 pending_upload_chunks=0 total_triangles=8821113
22:21:28.267 gpu_stream visible_vertices=14925057 resident_vertices=26463339 draw_calls=81 pending_upload_chunks=0 total_triangles=8821113
22:21:30.293 gpu_stream visible_vertices=14917998 resident_vertices=26463339 draw_calls=80 pending_upload_chunks=0 total_triangles=8821113
22:21:32.315 gpu_stream visible_vertices=14911674 resident_vertices=26463339 draw_calls=77 pending_upload_chunks=0 total_triangles=8821113
22:21:34.329 gpu_stream visible_vertices=14165037 resident_vertices=26463339 draw_calls=73 pending_upload_chunks=0 total_triangles=8821113
22:21:36.337 gpu_stream visible_vertices=14165919 resident_vertices=26463339 draw_calls=75 pending_upload_chunks=0 total_triangles=8821113
22:21:38.350 gpu_stream visible_vertices=14161803 resident_vertices=26463339 draw_calls=67 pending_upload_chunks=0 total_triangles=8821113
22:21:40.367 gpu_stream visible_vertices=626208 resident_vertices=26463339 draw_calls=20 pending_upload_chunks=0 total_triangles=8821113
22:21:42.397 gpu_stream visible_vertices=14163081 resident_vertices=26463339 draw_calls=69 pending_upload_chunks=0 total_triangles=8821113
22:21:44.411 gpu_stream visible_vertices=13647954 resident_vertices=26463339 draw_calls=57 pending_upload_chunks=0 total_triangles=8821113
22:21:46.432 gpu_stream visible_vertices=12367503 resident_vertices=26463339 draw_calls=46 pending_upload_chunks=0 total_triangles=8821113
