22:21:28.361 total=0.47ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.43ms movable=10
22:21:30.368 total=0.47ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.44ms movable=10
22:21:32.380 total=0.46ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.43ms movable=10
22:21:34.387 total=0.51ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.48ms movable=10
22:21:36.394 total=0.69ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.66ms movable=10
22:21:38.408 total=0.66ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.64ms movable=10
22:21:40.415 total=0.66ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.63ms movable=10
22:21:42.422 total=0.63ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.61ms movable=10
22:21:44.436 total=0.36ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.33ms movable=10
22:21:46.457 total=0.86ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
22:21:48.475 total=0.73ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.70ms movable=10
22:21:50.502 total=0.81ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.78ms movable=10
22:21:52.507 total=1.00ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.93ms movable=10
22:21:54.508 total=0.94ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.93ms movable=10
22:21:56.523 total=0.92ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
22:21:58.525 total=1.02ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.99ms movable=10
22:22:00.534 total=0.90ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
22:22:02.553 total=0.88ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
22:22:04.570 total=0.91ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
22:22:06.572 total=1.25ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.21ms movable=10
22:22:08.585 total=1.15ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.12ms movable=10
22:22:10.594 total=0.84ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
22:22:12.597 total=0.87ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
22:22:14.614 total=0.65ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.63ms movable=10
22:22:16.616 total=1.11ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.08ms movable=10
22:22:18.622 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
22:22:20.626 total=0.73ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.69ms movable=10
22:22:22.629 total=0.48ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.44ms movable=10
22:22:24.632 total=0.44ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.41ms movable=10
22:22:26.642 total=0.42ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.40ms movable=10
22:22:28.650 total=0.46ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.43ms movable=10
22:22:30.650 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
